DEMUC,CHUDECON,MASO,CAUHOI,CAUTRALOI,GIAITHICH
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0001,Bệnh đái tháo đường là bệnh gì vậy bác sĩ?,"Đái tháo đường là một bệnh mạn tính, nghĩa là kéo dài nhiều năm và khó chữa khỏi hoàn toàn. Bệnh xảy ra khi đường huyết (đường trong máu) tăng cao hơn mức bình thường do cơ thể không sản xuất đủ insulin hoặc không sử dụng insulin hiệu quả. Đường huyết cao lâu dài sẽ gây tổn thương đến tim, mạch máu, mắt, thận và hệ thần kinh. Nếu được phát hiện sớm và kiểm soát tốt, bạn vẫn có thể sống khỏe mạnh, giảm nguy cơ biến chứng.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0002,Vì sao bệnh đái tháo đường lại nguy hiểm?,"Nguy hiểm của bệnh là đường huyết cao không gây đau ngay lập tức nên nhiều người chủ quan. Tuy nhiên, nếu kéo dài, nó sẽ âm thầm làm hỏng mạch máu và các cơ quan quan trọng như tim, mắt, thận, thần kinh. Điều này có thể dẫn tới mù lòa, suy thận, nhồi máu cơ tim, đột quỵ hoặc mất cảm giác ở chân tay. Do đó, điều trị và kiểm soát sớm là rất quan trọng.","Đái tháo đường nguy hiểm vì đường huyết cao kéo dài có thể làm tổn thương các cơ quan quan trọng trong cơ thể. Theo thời gian, bệnh gây ra nhiều biến chứng nghiêm trọng như: tim mạch, đột quỵ, suy thận, mù lòa, tê bì hoặc loét bàn chân. Ngoài ra, nếu đường huyết tăng hoặc hạ quá mức, người bệnh có thể bị hôn mê hoặc tử vong nếu không được xử trí kịp thời. Đái tháo đường tiến triển âm thầm nên nhiều người không nhận ra cho đến khi đã có biến chứng. Do đó, kiểm soát đường huyết và khám định kỳ là cách tốt nhất để bảo vệ sức khỏe."
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0003,Bác sĩ nói bệnh này là rối loạn chuyển hóa nghĩa là sao?,"“Rối loạn chuyển hóa” nghĩa là cơ thể bạn gặp vấn đề trong việc xử lý và sử dụng năng lượng từ thức ăn, đặc biệt là đường (glucose). Bình thường, insulin giúp đưa đường từ máu vào tế bào để tạo năng lượng. Nhưng khi bị đái tháo đường, quá trình này bị rối loạn, khiến đường tích tụ trong máu thay vì được sử dụng.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0004,Insulin là gì và có vai trò gì?,"Insulin là một loại hormone do tuyến tụy sản xuất. Nhiệm vụ của nó là đưa đường từ máu vào tế bào để cơ thể sử dụng hoặc dự trữ làm năng lượng. Ở người mắc đái tháo đường, cơ thể có thể không sản xuất đủ insulin hoặc không sử dụng insulin hiệu quả. Khi thiếu insulin, đường huyết tăng cao và lâu ngày gây hại cho cơ thể.","Insulin là một hormone do tuyến tụy tiết ra, có vai trò rất quan trọng trong việc điều hòa lượng đường trong máu. Khi cô/chú ăn, đường từ thức ăn sẽ đi vào máu; lúc này insulin giúp đưa đường đó vào tế bào để tạo năng lượng cho cơ thể hoạt động. Ở người bị đái tháo đường, cơ thể không sản xuất đủ insulin hoặc insulin không hoạt động hiệu quả, khiến đường bị giữ lại trong máu thay vì được sử dụng. Vì vậy, đường huyết tăng cao và nếu kéo dài sẽ gây ra nhiều biến chứng nguy hiểm. Một số người bệnh cần tiêm insulin ngoài để giúp kiểm soát đường huyết tốt hơn."
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0005,Nếu cơ thể tôi thiếu insulin thì chuyện gì xảy ra?,"Khi thiếu insulin, đường từ thức ăn sẽ không được vận chuyển vào tế bào, dẫn đến tích tụ trong máu. Lúc này, tế bào “đói” năng lượng, cơ thể phải lấy năng lượng từ mỡ và cơ, gây sụt cân và sinh ra chất độc như ketone. Đường huyết cao lâu dài sẽ gây biến chứng nghiêm trọng ở nhiều cơ quan.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0006,Người bị đái tháo đường luôn phải tiêm insulin đúng không?,"Không phải ai cũng cần tiêm insulin. Người bị đái tháo đường type 1 buộc phải tiêm insulin hằng ngày. Người bị type 2 có thể kiểm soát bằng chế độ ăn, tập luyện và thuốc uống, chỉ tiêm khi các cách này không hiệu quả. Việc tiêm insulin cần theo chỉ định của bác sĩ.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0007,Tôi có thể tự biết mình bị đái tháo đường không hay phải đi khám?,"Một số người có triệu chứng rõ như tiểu nhiều, khát nhiều, mệt mỏi, sụt cân. Nhưng nhiều trường hợp bệnh tiến triển âm thầm. Cách chắc chắn nhất là làm xét nghiệm đường huyết và HbA1c tại cơ sở y tế. Kết quả xét nghiệm là cơ sở để chẩn đoán chính xác.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0008,Đường huyết đói là gì vậy bác sĩ?,"Đường huyết đói là lượng đường trong máu được đo sau khi bạn nhịn ăn ít nhất 8 tiếng (thường là qua đêm). Xét nghiệm này thường làm vào buổi sáng, trước khi ăn sáng. Nếu chỉ số ≥ 126 mg/dL ở ít nhất hai lần xét nghiệm khác nhau, bác sĩ có thể chẩn đoán bạn bị đái tháo đường.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0009,HbA1c là gì và tại sao cần xét nghiệm này?,"HbA1c là chỉ số phản ánh mức đường huyết trung bình trong 2–3 tháng gần nhất. Nó giúp bác sĩ đánh giá tình trạng kiểm soát đường huyết lâu dài, không chỉ tại một thời điểm. Nếu HbA1c ≥ 6.5%, bạn có khả năng mắc đái tháo đường và cần được tư vấn điều trị.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0010,Tại sao phải nhịn ăn trước khi đo đường huyết đói?,"Nhịn ăn ít nhất 8 tiếng giúp kết quả xét nghiệm phản ánh chính xác lượng đường cơ bản trong máu, không bị ảnh hưởng bởi thức ăn mới nạp vào. Nếu ăn trước khi xét nghiệm, đường huyết sẽ tăng tạm thời, gây sai lệch kết quả chẩn đoán.",
BỆNH ĐÁI THÁO ĐƯỜNG,Định nghĩa,Q0011,Nếu chỉ số HbA1c của tôi cao thì chắc chắn tôi bị tiểu đường không?,"HbA1c ≥ 6.5% là một trong các tiêu chí chẩn đoán đái tháo đường. Tuy nhiên, bác sĩ thường kết hợp với các xét nghiệm khác và đánh giá triệu chứng để khẳng định chẩn đoán. Một số yếu tố khác như bệnh máu, thiếu máu có thể ảnh hưởng kết quả.","Nếu chỉ số HbA1c từ 6,5% trở lên, bác sĩ sẽ nghi ngờ đái tháo đường, nhưng cần làm thêm xét nghiệm khác (như đường huyết đói hoặc nghiệm pháp dung nạp đường) để xác nhận chẩn đoán. Đôi khi, HbA1c có thể bị sai lệch nếu cô/chú thiếu máu, bệnh thận, rối loạn hồng cầu hoặc mới truyền máu. Vì vậy, HbA1c là xét nghiệm quan trọng nhưng không dùng đơn lẻ để kết luận bệnh. Cách tốt nhất là đi khám bác sĩ chuyên khoa Nội tiết, để được đánh giá toàn diện và hướng dẫn điều trị phù hợp nếu cần."
