DEMUC,CHUDECON,MASO,CAUHOI,CAUTRALOI,GIAITHICH
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0001,Đái tháo đường type 1 là bệnh gì?,"Là bệnh tự miễn trong đó hệ miễn dịch phá hủy tế bào beta tuyến tụy, gây thiếu insulin tuyệt đối và làm đường huyết tăng cao; người bệnh hầu như luôn cần điều trị bằng insulin suốt đời để kiểm soát đường huyết và phòng biến chứng.","Đái tháo đường type 1 là bệnh lý tự miễn mạn tính, xảy ra khi hệ miễn dịch của cơ thể tấn công và phá hủy các tế bào beta trong tuyến tụy. Điều này khiến tuyến tụy mất hoàn toàn khả năng sản xuất insulin, một hormone quan trọng giúp vận chuyển đường (glucose) từ máu vào tế bào để chuyển hóa thành năng lượng.
Khi không có insulin, đường sẽ tích tụ lại trong máu, gây tăng đường huyết nghiêm trọng, trong khi các tế bào của cơ thể lại bị thiếu hụt năng lượng. Bệnh không phải do lối sống gây ra và người bệnh bắt buộc phải điều trị bằng liệu pháp insulin thay thế hàng ngày để duy trì sức khỏe."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0002,Nguyên nhân chính gây ra đái tháo đường type 1 là gì?,"Chủ yếu do cơ chế tự miễn tấn công tế bào beta; yếu tố di truyền làm tăng nguy cơ, trong khi một số yếu tố môi trường như nhiễm virus có thể khởi phát quá trình tự miễn; một tỷ lệ nhỏ không xác định được nguyên nhân rõ ràng.","Nguyên nhân chính gây ra đái tháo đường type 1 là một phản ứng tự miễn dịch.
Nói một cách dễ hiểu, hệ miễn dịch của cơ thể, vốn có chức năng bảo vệ chúng ta khỏi vi khuẩn, virus, lại bị ""nhầm lẫn"". Nó nhận diện các tế bào beta trong tuyến tụy (tế bào sản xuất insulin) là kẻ thù và tự động tấn công, phá hủy chúng. Khi phần lớn các tế bào này bị phá hủy, cơ thể sẽ không còn khả năng sản xuất insulin nữa.
Hiện tại, các nhà khoa học vẫn chưa tìm ra lý do chính xác cho sự nhầm lẫn này, nhưng họ tin rằng đó là sự kết hợp của yếu tố di truyền và yếu tố môi trường, ví dụ như sau khi nhiễm một số loại virus nhất định."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0003,Tại sao cơ thể người mắc đái tháo đường type 1 lại thiếu insulin?,"Tế bào beta bị phá hủy nên tụy không còn sản xuất đủ insulin; thiếu insulin làm glucose không vào được tế bào, dẫn đến tăng đường huyết, dị hóa mỡ và nguy cơ tạo keton.","Cơ thể người mắc đái tháo đường type 1 thiếu insulin là vì ""nhà máy"" sản xuất insulin duy nhất trong cơ thể đã bị phá hủy.
Cụ thể, hệ thống miễn dịch của chính người bệnh đã nhận diện nhầm và tấn công các tế bào beta nằm trong tuyến tụy. Nhiệm vụ của các tế bào beta này là sản xuất ra insulin. Do bị tấn công liên tục trong một thời gian, các tế bào này bị phá hủy gần như hoàn toàn và không thể phục hồi.
Khi không còn tế bào beta, tuyến tụy mất đi khả năng sản xuất insulin. Sự thiếu hụt này là tuyệt đối, dẫn đến tình trạng đường trong máu không thể được kiểm soát."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0004,Các yếu tố nguy cơ của đái tháo đường type 1 bao gồm những gì?,"Tiền sử gia đình có người mắc, một số biến thể gen liên quan miễn dịch, và các yếu tố môi trường như nhiễm virus; người có bệnh tự miễn khác (ví dụ tuyến giáp) cũng có nguy cơ cao hơn.","Các yếu tố nguy cơ của đái tháo đường type 1 là sự kết hợp phức tạp giữa di truyền và môi trường, chứ không có một nguyên nhân đơn lẻ nào.
Các yếu tố chính bao gồm:
1. Tiền sử gia đình và di truyền: Nếu có cha, mẹ hoặc anh chị em ruột mắc bệnh, nguy cơ của bạn sẽ cao hơn. Một số gen nhất định cũng được cho là làm tăng tính nhạy cảm với bệnh. Tuy nhiên, phần lớn người mắc bệnh lại không có tiền sử gia đình.
2. Yếu tố môi trường: Các nhà khoa học cho rằng việc phơi nhiễm với một số loại virus (như virus gây bệnh quai bị, rubella) có thể ""kích hoạt"" phản ứng tự miễn ở những người có sẵn yếu tố di truyền.
3. Các yếu tố khác: Bệnh có thể xuất hiện ở mọi lứa tuổi nhưng thường gặp nhất ở trẻ em và thanh thiếu niên."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0005,Đái tháo đường type 1 thường gặp ở lứa tuổi nào?,"Có thể gặp ở mọi lứa tuổi nhưng thường khởi phát ở trẻ em và thanh thiếu niên; người lớn vẫn có thể mắc, đặc biệt dạng tiến triển chậm (LADA) dễ bị nhầm với type 2 lúc ban đầu.","Đái tháo đường type 1 có thể xảy ra ở bất kỳ lứa tuổi nào, từ trẻ nhỏ cho đến người lớn tuổi.
Tuy nhiên, bệnh được chẩn đoán phổ biến nhất ở trẻ em, thanh thiếu niên và người trẻ tuổi (thường dưới 30 tuổi). Y văn ghi nhận có hai ""đỉnh"" tuổi mà bệnh thường được phát hiện nhiều nhất: một là ở trẻ nhỏ khoảng từ 4 đến 6 tuổi, và hai là vào giai đoạn đầu của tuổi dậy thì, khoảng từ 10 đến 14 tuổi.
Mặc dù ít gặp hơn, người lớn ở độ tuổi 30, 40 hoặc lớn hơn vẫn có thể được chẩn đoán mắc đái tháo đường type 1."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0006,Triệu chứng thường gặp của đái tháo đường type 1 là gì?,"Khát nước, đi tiểu nhiều, đói liên tục, sụt cân nhanh, mệt mỏi, nhìn mờ; diễn tiến thường nhanh trong vài tuần; nếu nặng có thể buồn nôn, nôn, đau bụng do nhiễm toan ceton.","Các triệu chứng của đái tháo đường type 1 thường xuất hiện khá đột ngột và có thể trở nên nghiêm trọng trong vài ngày hoặc vài tuần.
Các dấu hiệu thường gặp nhất bao gồm:
Khát nước dữ dội và uống nhiều (khô miệng): Do cơ thể mất nhiều nước qua đường tiểu.
Đi tiểu thường xuyên, kể cả ban đêm: Thận phải làm việc liên tục để loại bỏ lượng đường thừa trong máu qua nước tiểu.
Sụt cân nhanh không rõ nguyên nhân: Cơ thể không thể sử dụng đường để tạo năng lượng nên bắt đầu đốt cháy mỡ và cơ để thay thế.
Mệt mỏi, thiếu năng lượng: Tế bào không nhận được đường nên cơ thể không có năng lượng để hoạt động.
Cảm giác đói cồn cào.
Nhìn mờ.
Nếu gặp phải các triệu chứng này, bạn cần đi khám bác sĩ ngay lập tức."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0007,Nhiễm toan ceton là gì và liên quan gì đến đái tháo đường type 1?,"Nhiễm toan ceton (DKA) là biến chứng cấp do thiếu insulin khiến cơ thể đốt mỡ tạo keton, gây toan chuyển hóa; thường gặp ở type 1, biểu hiện khát nhiều, thở nhanh sâu, mùi acetone, cần cấp cứu ngay.","Nhiễm toan ceton là một biến chứng cấp tính và rất nguy hiểm của bệnh đái tháo đường, cần cấp cứu ngay, đặc biệt thường gặp ở người mắc đái tháo đường type 1.
Mối liên quan được giải thích như sau: Ở người đái tháo đường type 1, cơ thể bị thiếu hụt insulin nghiêm trọng. Khi không có insulin, tế bào không thể lấy đường từ máu để làm năng lượng. Lúc này, cơ thể phải chuyển sang đốt cháy chất béo để thay thế. Quá trình này tạo ra một sản phẩm phụ có tính axit gọi là ceton.
Khi ceton tích tụ quá nhiều và quá nhanh, chúng làm cho máu bị ""nhiễm axit"", gây ra tình trạng nhiễm toan ceton, đe dọa đến tính mạng. Biểu hiện thường gặp là khát nhiều, thở nhanh sâu và có mùi acetone."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0008,Làm thế nào để chẩn đoán đái tháo đường type 1?,"Chẩn đoán đái tháo đường dựa vào đường huyết tăng (lúc đói, nghiệm pháp dung nạp, ngẫu nhiên kèm triệu chứng) hoặc HbA1c; xác định type 1 được hỗ trợ bởi tự kháng thể đảo tụy (GAD, IA-2, ZnT8, IAA) và C-peptide thấp.","Để chẩn đoán đái tháo đường type 1, bác sĩ sẽ dựa vào các triệu chứng bạn gặp phải và thực hiện một số xét nghiệm máu quan trọng.
Đầu tiên, bác sĩ sẽ kiểm tra mức đường huyết của bạn để xác định bạn có bị đái tháo đường hay không. Các xét nghiệm thường dùng là:
Đường huyết ngẫu nhiên: Lấy máu bất kỳ lúc nào, có thể là tại thời điểm đi khám.
Đường huyết lúc đói: Yêu cầu bạn nhịn ăn ít nhất 8 tiếng sau đó mới lấy máu.
Xét nghiệm HbA1c: Đo mức đường huyết trung bình trong 2-3 tháng qua.
Sau khi xác định có đái tháo đường, bác sĩ có thể làm thêm xét nghiệm tự kháng thể và C-peptide để phân biệt rõ đây là type 1 hay type 2."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0009,Xét nghiệm HbA1c dùng để làm gì trong chẩn đoán đái tháo đường type 1?,"HbA1c phản ánh đường huyết trung bình 2–3 tháng; ngưỡng ≥6,5% chẩn đoán đái tháo đường; tuy nhiên HbA1c không phân biệt được type và có thể bị ảnh hưởng bởi thiếu máu hoặc rối loạn hồng cầu.","Xét nghiệm HbA1c đóng vai trò quan trọng trong việc chẩn đoán và theo dõi bệnh đái tháo đường nói chung, bao gồm cả type 1.
Mục đích chính của xét nghiệm này là đánh giá mức đường huyết trung bình của bạn trong khoảng 2-3 tháng gần nhất. Nó cho bác sĩ thấy một ""bức tranh toàn cảnh"" về việc kiểm soát đường huyết, chứ không chỉ là một khoảnh khắc như khi đo đường huyết thông thường. Nếu kết quả HbA1c từ 6.5% trở lên, nó sẽ giúp xác nhận chẩn đoán bạn mắc bệnh đái tháo đường.
Tuy nhiên, xét nghiệm HbA1c không thể phân biệt được đây là type 1 hay type 2. Vì vậy, sau khi có kết quả HbA1c cao, bác sĩ sẽ cần làm thêm các xét nghiệm khác để có chẩn đoán cuối cùng."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0010,LADA là gì và khác gì với type 1 khởi phát ở trẻ em?,"LADA là đái tháo đường tự miễn khởi phát ở người lớn, tiến triển chậm; ban đầu có thể đáp ứng thuốc uống nhưng dần thiếu insulin và cần tiêm; khác với type 1 ở trẻ thường khởi phát nhanh và cần insulin ngay.","LADA là viết tắt của ""Đái tháo đường tự miễn tiềm ẩn ở người lớn"", thường được gọi là đái tháo đường type 1.5. Về bản chất, đây là một dạng của đái tháo đường type 1 vì nó cũng do hệ miễn dịch tự tấn công tế bào sản xuất insulin.
Điểm khác biệt chính so với type 1 khởi phát ở trẻ em nằm ở tốc độ và thời điểm:
Tốc độ tiến triển: Ở trẻ em, bệnh diễn tiến rất nhanh, các triệu chứng rầm rộ và cần phải dùng insulin ngay lập tức. Với LADA, quá trình phá hủy tế bào tụy diễn ra chậm hơn nhiều, có thể mất vài tháng đến vài năm mới cần dùng insulin.
Thời điểm khởi phát: Đái tháo đường type 1 thường được chẩn đoán ở trẻ em và thanh thiếu niên, trong khi LADA thường xuất hiện ở người trưởng thành, phổ biến là sau 30 tuổi."
