DEMUC,CHUDECON,MASO,CAUHOI,CAUTRALOI,GIAITHICH
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0001,"Theo Bộ Y tế, bệnh đái tháo đường được định nghĩa như thế nào?","Bệnh đái tháo đường là một bệnh rối loạn chuyển hóa mạn tính, đặc trưng bởi tình trạng tăng glucose huyết kéo dài do khiếm khuyết về tiết insulin, tác động của insulin hoặc cả hai. Sự tăng glucose này gây rối loạn chuyển hóa carbohydrate, protide và lipide, dẫn đến tổn thương nhiều cơ quan quan trọng như tim, mạch máu, thận, mắt và hệ thần kinh.","Bộ Y tế Việt Nam dựa trên định nghĩa thống nhất của Tổ chức Y tế Thế giới (WHO) và Hiệp hội Đái tháo đường Hoa Kỳ (ADA). “Rối loạn chuyển hóa” ở đây nghĩa là sự mất cân bằng trong cách cơ thể sử dụng glucose, lipid và protein. Cơ chế chính gồm:
 Thiếu insulin tuyệt đối – do phá hủy tế bào β (đái tháo đường típ 1).
 Đề kháng insulin kết hợp với giảm tiết insulin tương đối (đái tháo đường típ 2).
 Tăng đường huyết thoáng qua trong thai kỳ (đái tháo đường thai kỳ).
 Tăng đường huyết kéo dài là yếu tố trung tâm dẫn đến các biến chứng mạch máu lớn (tim, não) và mạch máu nhỏ (võng mạc, thận, thần kinh, nướu răng). Vì vậy, định nghĩa không chỉ nhấn mạnh tăng đường huyết, mà còn coi đây là rối loạn chuyển hóa toàn thân cần được kiểm soát liên tục và toàn diện."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0002,Cơ chế chính dẫn đến tình trạng tăng glucose huyết mạn tính ở bệnh nhân đái tháo đường là gì?,"Tăng glucose huyết mạn tính trong đái tháo đường xảy ra khi cơ thể không sản xuất đủ insulin, insulin không hoạt động hiệu quả, hoặc kết hợp cả hai. Điều này dẫn tới giảm khả năng vận chuyển glucose vào tế bào, làm glucose tích tụ trong máu và gây tổn thương mô lâu dài.","Tăng glucose huyết mạn tính trong đái tháo đường phản ánh sự mất cân bằng giữa tiết insulin của tế bào β tụy và đáp ứng của mô đích (gan, cơ, mô mỡ) đối với insulin. Ở đái tháo đường type 1, cơ chế chủ yếu là phá hủy miễn dịch tế bào β, dẫn đến thiếu insulin tuyệt đối. Trong khi đó, ở type 2, đề kháng insulin kết hợp với suy giảm chức năng tế bào β tiến triển làm giảm hiệu quả sử dụng glucose. Hậu quả là tăng sản xuất glucose ở gan, giảm thu nạp glucose ở cơ và mô mỡ, cùng với rối loạn bài tiết insulin theo pha, làm glucose huyết tăng kéo dài, gây stress oxy hóa và tổn thương vi mạch, đại mạch"
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0003,Tăng glucose huyết mạn tính trong đái tháo đường gây tổn thương chủ yếu ở những cơ quan nào?,"Tăng glucose huyết kéo dài làm tổn thương hệ thống mạch máu lớn và nhỏ, gây biến chứng nghiêm trọng ở tim, mạch máu, thận, mắt và thần kinh. Những tổn thương này có thể dẫn đến bệnh mạch vành, suy thận mạn, mù lòa hoặc bệnh lý thần kinh ngoại biên.","Tăng glucose huyết kéo dài gây tổn thương lan tỏa trên hệ thống mạch máu lớn và nhỏ. Ở mức vi mạch, sự glycat hóa protein và lipid tạo sản phẩm AGEs làm dày màng đáy, rò rỉ mao mạch và giảm tưới máu, dẫn đến biến chứng võng mạc, bệnh thận đái tháo đường và bệnh lý thần kinh ngoại biên. Ở mức đại mạch, tăng glucose và rối loạn lipid máu thúc đẩy quá trình xơ vữa động mạch, gây bệnh mạch vành, đột quỵ hoặc bệnh mạch máu ngoại biên. Các tổn thương này tiến triển âm thầm nhưng gây hậu quả nghiêm trọng, làm suy giảm chất lượng sống và tăng nguy cơ tử vong tim mạch ở bệnh nhân đái tháo đường."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0004,Những nhóm chất nào bị rối loạn chuyển hóa trong bệnh đái tháo đường?,"Bệnh đái tháo đường ảnh hưởng trực tiếp đến chuyển hóa carbohydrate, protide và lipide. Sự mất cân bằng chuyển hóa này làm tăng nguy cơ xơ vữa động mạch, rối loạn lipid máu, teo cơ, và gây tác động tiêu cực lên nhiều cơ quan quan trọng của cơ thể.","Bệnh đái tháo đường gây rối loạn đồng thời chuyển hóa carbohydrate, protide và lipide. Do thiếu hoặc đề kháng insulin, glucose không được hấp thu hiệu quả vào tế bào, dẫn đến tăng tân tạo đường và ly giải glycogen tại gan, gây tăng glucose huyết. Mặt khác, insulin giảm hoạt tính ức chế ly giải mỡ, làm tăng acid béo tự do, thúc đẩy tổng hợp triglycerid và ceton. Quá trình dị hóa protein cũng tăng lên, gây teo cơ và giảm khối nạc. Sự rối loạn phối hợp này gây rối loạn năng lượng toàn thân, thúc đẩy xơ vữa động mạch và biến chứng đa cơ quan."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0005,Tại sao bệnh đái tháo đường được coi là một bệnh rối loạn chuyển hóa toàn thân?,"Đái tháo đường được coi là bệnh rối loạn chuyển hóa toàn thân vì ảnh hưởng đồng thời đến nhiều quá trình chuyển hóa: carbohydrate, protide và lipide. Từ đó, bệnh gây tổn thương đa cơ quan, đặc biệt là hệ tim mạch, thận, mắt và thần kinh, làm suy giảm chất lượng sống.","Đái tháo đường được coi là bệnh rối loạn chuyển hóa toàn thân vì ảnh hưởng đồng thời đến quá trình chuyển hóa đường, mỡ và đạm. Thiếu hụt hoặc giảm nhạy cảm với insulin làm tăng đường huyết, tăng ly giải lipid và dị hóa protein, dẫn đến mất cân bằng năng lượng ở cấp độ tế bào. Hậu quả là xuất hiện hàng loạt biến đổi về huyết học, chuyển hóa và vi mạch, gây tổn thương ở tim, thận, mắt, thần kinh và răng miệng. Do đó, đái tháo đường không chỉ là bệnh tăng đường huyết đơn thuần mà là rối loạn nội tiết – chuyển hóa mạn tính có tác động hệ thống lên toàn cơ thể."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0006,Bệnh đái tháo đường được phân thành mấy loại chính?,"Bệnh đái tháo đường được phân thành 4 loại chính: type 1, type 2, đái tháo đường thai kỳ và các thể đặc biệt. Mỗi loại có cơ chế bệnh sinh và yếu tố nguy cơ khác nhau, nhưng đều dẫn tới tình trạng tăng glucose huyết mạn tính và biến chứng đa cơ quan nếu không được kiểm soát.","Bệnh đái tháo đường được phân thành bốn loại chính: típ 1, típ 2, đái tháo đường thai kỳ và các thể đặc biệt khác. Đái tháo đường típ 1 là hậu quả của phá hủy tự miễn tế bào beta tụy, gây thiếu insulin tuyệt đối. Típ 2 đặc trưng bởi đề kháng insulin và giảm tiết insulin tương đối, thường liên quan đến béo phì và lối sống. Đái tháo đường thai kỳ xuất hiện trong thai kỳ do thay đổi nội tiết gây đề kháng insulin tạm thời. Ngoài ra còn có các thể đặc biệt do đột biến gen, bệnh tụy, thuốc hoặc nội tiết tố."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0007,Đặc điểm bệnh sinh của đái tháo đường type 1 là gì?,"Đái tháo đường type 1 xảy ra khi hệ miễn dịch phá hủy tế bào beta tụy, làm giảm hoặc mất hoàn toàn khả năng tiết insulin. Đây là tình trạng thiếu insulin tuyệt đối, thường khởi phát nhanh và cần điều trị suốt đời bằng insulin để duy trì kiểm soát đường huyết.","Đái tháo đường típ 1 là hậu quả của quá trình tự miễn, trong đó tế bào T phá hủy tế bào beta của đảo Langerhans, dẫn đến thiếu insulin tuyệt đối. Bệnh thường khởi phát ở người trẻ, tiến triển nhanh và có thể xuất hiện triệu chứng cấp như đa niệu, khát nước, sụt cân và toan ceton. Không có insulin khiến glucose không được sử dụng ở mô cơ và mỡ, dẫn đến tăng glucose huyết và ly giải mỡ mạnh, sinh ceton gây toan máu. Điều trị bắt buộc bằng insulin ngoại sinh suốt đời để duy trì kiểm soát chuyển hóa và phòng ngừa biến chứng."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0008,Đặc điểm bệnh sinh của đái tháo đường type 2 là gì?,"Đái tháo đường type 2 đặc trưng bởi giảm chức năng tế bào beta tụy trên nền đề kháng insulin. Bệnh tiến triển âm thầm qua nhiều năm, thường liên quan đến béo phì, ít vận động và yếu tố di truyền. Điều trị bao gồm thay đổi lối sống, thuốc hạ đường huyết và đôi khi insulin.","Đái tháo đường típ 2 là bệnh rối loạn chuyển hóa phức tạp, đặc trưng bởi tình trạng đề kháng insulin ở mô ngoại vi (cơ, gan, mô mỡ) kết hợp với suy giảm chức năng tế bào beta tụy. Giai đoạn đầu, tụy tăng tiết insulin để bù trừ, nhưng theo thời gian, khả năng này suy giảm dẫn đến tăng đường huyết mạn tính. Cơ chế bệnh sinh chịu ảnh hưởng bởi yếu tố di truyền, béo phì, ít vận động, viêm mạn tính mức độ thấp và rối loạn tín hiệu insulin nội bào. Điều trị tập trung vào kiểm soát đường huyết thông qua thay đổi lối sống, thuốc hạ đường huyết đường uống và có thể bổ sung insulin ở giai đoạn muộn."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0009,Đái tháo đường thai kỳ thường được chẩn đoán ở giai đoạn nào?,"Đái tháo đường thai kỳ được chẩn đoán chủ yếu trong 3 tháng giữa hoặc 3 tháng cuối thai kỳ, khi trước đó không có bằng chứng của ĐTĐ type 1 hoặc type 2. Tình trạng này có thể gây nguy cơ cho cả mẹ và thai nhi nếu không được kiểm soát tốt.","Đái tháo đường thai kỳ (GDM) thường được phát hiện trong tam cá nguyệt thứ hai hoặc thứ ba, đặc biệt từ tuần thai thứ 24–28, thông qua nghiệm pháp dung nạp glucose đường uống (OGTT). Đây là tình trạng rối loạn dung nạp glucose khởi phát hoặc được phát hiện lần đầu trong thai kỳ, khi trước đó không có bằng chứng của ĐTĐ típ 1 hay típ 2. Bệnh lý này phát sinh do tăng đề kháng insulin sinh lý trong thai kỳ cùng sự suy giảm khả năng đáp ứng insulin của tế bào beta tụy. Nếu không kiểm soát tốt, GDM có thể gây tăng nguy cơ tiền sản giật, sinh con to, hạ đường huyết sơ sinh và phát triển ĐTĐ típ 2 sau sinh."
BỆNH LÝ ĐTĐ,Định nghĩa và phân loại,Q0010,Một số nguyên nhân của các loại đái tháo đường đặc biệt là gì?,"Các loại đái tháo đường đặc biệt có thể do đột biến gen (đái tháo đường sơ sinh) hoặc do thuốc và hóa chất như glucocorticoid, thuốc điều trị HIV/AIDS, hoặc sau cấy ghép mô. Các nguyên nhân này ảnh hưởng trực tiếp đến tiết insulin hoặc làm tăng đề kháng insulin.","Các loại đái tháo đường đặc biệt (specific types of diabetes) có thể xuất phát từ đột biến gen đơn ảnh hưởng đến quá trình tiết insulin, điển hình như đái tháo đường sơ sinh hoặc MODY (Maturity-Onset Diabetes of the Young). Ngoài ra, một số thuốc và hóa chất như glucocorticoid, thuốc điều trị HIV, thuốc chống loạn thần, hoặc sau ghép tạng cũng có thể gây tăng glucose huyết. Các yếu tố này tác động trực tiếp lên tế bào beta tụy hoặc làm tăng đề kháng insulin ngoại biên, dẫn tới rối loạn chuyển hóa glucose. Việc nhận diện nguyên nhân giúp lựa chọn điều trị đặc hiệu, tránh lạm dụng thuốc hạ đường huyết không phù hợp."
