DEMUC,CHUDECON,STT,CAUHOI,CAUTRALOI
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0001,Đái tháo đường type 1 là bệnh gì và cơ chế bệnh sinh có thể ảnh hưởng thế nào tới sức khỏe răng miệng?,"Đái tháo đường type 1 là bệnh rối loạn chuyển hóa do phá hủy tế bào beta tuyến tụy, làm thiếu insulin. Tăng đường huyết kéo dài gây suy giảm miễn dịch, giảm lành thương và tăng nguy cơ viêm nha chu, nhiễm trùng miệng."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0002,Vì sao tuyến tụy không còn sản xuất insulin ở bệnh nhân đái tháo đường type 1? Điều này có ý nghĩa gì trong nha khoa?,"Do cơ chế tự miễn phá hủy tế bào beta. Thiếu insulin làm tăng đường huyết, ảnh hưởng đến phản ứng viêm và khả năng lành vết thương sau thủ thuật nha khoa."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0003,Cơ chế tự miễn của bệnh này tác động gì tới mô nha chu?,"Cơ chế tự miễn không trực tiếp phá hủy mô nha chu, nhưng hậu quả tăng đường huyết kéo dài gây biến đổi vi mạch, tăng phản ứng viêm và nguy cơ mất bám dính nha chu."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0004,"Ngoài cơ chế tự miễn, còn nguyên nhân nào khác gây đái tháo đường type 1 không?","Một số ít trường hợp không rõ nguyên nhân. Dù nguyên nhân gì, hậu quả tăng đường huyết vẫn làm tăng nguy cơ bệnh nha chu và nhiễm trùng miệng."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0005,Vai trò của insulin trong điều hòa đường huyết liên quan thế nào tới bệnh lý răng miệng?,"Insulin giúp kiểm soát đường huyết. Thiếu insulin dẫn tới tăng glucose trong máu và dịch khe nướu, tạo môi trường thuận lợi cho vi khuẩn nha chu phát triển."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0006,Những yếu tố nguy cơ nào của ĐTĐ type 1 mà bác sĩ RHM cần lưu ý khi khai thác bệnh sử?,"Tiền sử gia đình, yếu tố di truyền, nhiễm virus. Những thông tin này giúp dự đoán nguy cơ biến chứng răng miệng và lập kế hoạch theo dõi định kỳ."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0007,Tiền sử gia đình mắc ĐTĐ type 1 có ảnh hưởng gì tới kế hoạch chăm sóc răng miệng?,"Nguy cơ cao hơn → cần sàng lọc sớm, hướng dẫn phòng bệnh nha chu và giáo dục bệnh nhân về mối liên hệ răng miệng – ĐTĐ."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0008,"Nhiễm virus là yếu tố nguy cơ của ĐTĐ type 1, điều này có ý nghĩa gì trong phòng ngừa nhiễm trùng miệng?","Cho thấy hệ miễn dịch bệnh nhân có thể bị tác động mạnh, cần kiểm soát tốt vệ sinh miệng và điều trị sớm các ổ nhiễm khuẩn."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0009,Vai trò của yếu tố di truyền trong ĐTĐ type 1 có liên quan gì tới bệnh nha chu?,"Không trực tiếp gây bệnh nha chu, nhưng di truyền ảnh hưởng tới nguy cơ mắc ĐTĐ, gián tiếp làm tăng nguy cơ bệnh nha chu."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0010,Người không có yếu tố nguy cơ vẫn mắc ĐTĐ type 1 – bác sĩ RHM cần lưu ý gì?,"Luôn hỏi về triệu chứng toàn thân và phối hợp xét nghiệm khi nghi ngờ, ngay cả khi bệnh nhân không có yếu tố nguy cơ rõ."
