"question_id","topic","subtopic","question","answer","keywords"
"1","BỆNH đái tháo đường","","Bệnh đái tháo đường là bệnh gì vậy bác sĩ?","Đái tháo đường** là một bệnh mạn tính khi **đường huyết** (đường trong máu) tăng cao hơn mức bình thường. Xảy ra do cơ thể không sản xuất đủ hoặc không sử dụng **insulin** hiệu quả. **Đường huyết cao** lâu dài gây tổn thương các cơ quan quan trọng. - Bệnh kéo dài, cần kiểm soát liên tục. - Tổn thương tim, mắt, thận nếu không điều trị. 👉 Tóm lại, cần phát hiện sớm và kiểm soát tốt để sống khỏe mạnh.","bệnh đái tháo đường; tiểu đường là gì; định nghĩa đái tháo đường; bệnh mãn tính; đường huyết cao; rối loạn chuyển hóa"
"2","BỆNH đái tháo đường","","Vì sao bệnh đái tháo đường lại nguy hiểm?","Nguy hiểm của đái tháo đường** xuất phát từ việc **đường huyết cao** không gây đau ngay lập tức nhưng âm thầm hủy hoại cơ thể. **Đường huyết cao** kéo dài làm hỏng mạch máu và các cơ quan quan trọng như tim, mắt, thận, thần kinh. Điều này có thể dẫn đến **biến chứng** nghiêm trọng. - Không có triệu chứng đau rõ ràng ban đầu. - Có thể dẫn đến mù lòa, suy thận, nhồi máu cơ tim, đột quỵ. 👉 Tóm lại, điều trị và kiểm soát sớm là chìa khóa để ngăn ngừa **biến chứng** nghiêm trọng.","biến chứng đái tháo đường; nguy hiểm tiểu đường; hậu quả đái tháo đường; biến chứng tim mạch; biến chứng thận; tổn thương thần kinh"
"3","BỆNH đái tháo đường","","Bác sĩ nói bệnh này là rối loạn chuyển hóa nghĩa là sao?","Rối loạn chuyển hóa** là tình trạng cơ thể bạn gặp vấn đề trong việc xử lý và sử dụng năng lượng từ thức ăn, đặc biệt là **đường (glucose)**. Bình thường, **insulin** giúp đưa đường từ máu vào tế bào. Nhưng khi bị **đái tháo đường**, quá trình này bị rối loạn, khiến **đường** tích tụ trong máu. - Cơ thể không dùng đường hiệu quả. - Đường tích tụ trong máu, gây tăng **đường huyết**. 👉 Tóm lại, đây là nguyên nhân gốc rễ khiến **đường huyết** của bạn tăng cao.","rối loạn chuyển hóa; chuyển hóa đường; glucose; insulin; cơ chế bệnh đái tháo đường"
"4","BỆNH đái tháo đường","","Insulin là gì và có vai trò gì?","Insulin** là một loại **hormone** quan trọng do tuyến tụy sản xuất. Nhiệm vụ của nó là đưa **đường (glucose)** từ máu vào tế bào để cơ thể sử dụng hoặc dự trữ làm năng lượng. Người mắc **đái tháo đường** thường thiếu **insulin** hoặc dùng không hiệu quả. - Chìa khóa vận chuyển đường vào tế bào. - Thiếu hụt gây **đường huyết cao**. 👉 Tóm lại, **insulin** giúp cân bằng **đường huyết** và cung cấp năng lượng cho cơ thể bạn.","insulin là gì; vai trò insulin; hormone insulin; chức năng insulin; hạ đường huyết; tuyến tụy"
"5","BỆNH đái tháo đường","","Nếu cơ thể tôi thiếu insulin thì chuyện gì xảy ra?","Thiếu Insulin** khiến **đường** từ thức ăn không thể vào tế bào, gây tích tụ trong máu. Lúc này, tế bào ""đói"" năng lượng, cơ thể phải phân hủy mỡ và cơ để bù đắp, có thể sinh ra chất độc **ketone**. **Đường huyết cao** kéo dài sẽ gây biến chứng nghiêm trọng. - Tăng **đường huyết**, tế bào thiếu năng lượng. - Gây sụt cân, sản sinh **ketone** (nguy hiểm). 👉 Tóm lại, **thiếu insulin** là nguyên nhân trực tiếp dẫn đến các vấn đề sức khỏe nghiêm trọng ở người **đái tháo đường**.","thiếu insulin; hậu quả thiếu insulin; đường huyết tăng cao; đái tháo đường type 1"
"6","BỆNH đái tháo đường","","Người bị đái tháo đường luôn phải tiêm insulin đúng không?","Tiêm Insulin** là phương pháp điều trị cần thiết cho một số bệnh nhân **đái tháo đường**. Người **tiểu đường type 1** buộc phải tiêm hằng ngày. Với **type 2**, thường bắt đầu với chế độ ăn, tập luyện và thuốc uống, chỉ tiêm khi các phương pháp này không đủ kiểm soát **đường huyết**. - Bắt buộc với **type 1**. - Với **type 2**, chỉ khi các phương pháp khác không hiệu quả. 👉 Tóm lại, quyết định **tiêm insulin** luôn cần dựa trên chỉ định và lời khuyên của bác sĩ.","tiêm insulin; điều trị insulin; đái tháo đường type 1; đái tháo đường type 2; insulin không bắt buộc"
"7","BỆNH đái tháo đường","","Tôi có thể tự biết mình bị đái tháo đường không hay phải đi khám?","Chẩn đoán đái tháo đường** cần sự xác nhận chính xác từ các **xét nghiệm y tế**. Một số người có triệu chứng rõ như tiểu, khát nhiều, mệt mỏi, sụt cân. Tuy nhiên, nhiều trường hợp bệnh tiến triển âm thầm, cần làm xét nghiệm **đường huyết** và **HbA1c** tại cơ sở y tế. - Triệu chứng có thể không rõ ràng. - **Xét nghiệm đường huyết** và **HbA1c** là cách chắc chắn nhất. 👉 Tóm lại, đừng tự chẩn đoán, hãy đến gặp bác sĩ để được kiểm tra và tư vấn chính xác nhất.","dấu hiệu đái tháo đường; triệu chứng đái tháo đường; tự chẩn đoán đái tháo đường; đi khám đái tháo đường; xét nghiệm đái tháo đường"
"8","BỆNH đái tháo đường","","Đường huyết đói là gì vậy bác sĩ?","Đường huyết đói** là chỉ số **đường trong máu** được đo sau khi bạn nhịn ăn ít nhất 8 tiếng (thường là qua đêm). Xét nghiệm này thường làm vào buổi sáng trước bữa ăn. Chỉ số **≥ 126 mg/dL** (ở 2 lần đo khác nhau) là một tiêu chí quan trọng để chẩn đoán **đái tháo đường**. - Cần nhịn ăn tối thiểu 8 tiếng. - Giá trị **≥ 126 mg/dL** cảnh báo **đái tháo đường**. 👉 Tóm lại, đây là xét nghiệm cơ bản để đánh giá mức **đường huyết** nền của cơ thể.","đường huyết đói; glucose huyết đói; định nghĩa đường huyết đói; xét nghiệm đói"
"9","BỆNH đái tháo đường","","HbA1c là gì và tại sao cần xét nghiệm này?","HbA1c** là chỉ số phản ánh mức **đường huyết trung bình** của bạn trong 2–3 tháng gần nhất. Nó giúp bác sĩ đánh giá khả năng kiểm soát **đường huyết** của bạn trong thời gian dài. Nếu **HbA1c ≥ 6.5%**, bạn có khả năng mắc **đái tháo đường**. - Đánh giá **đường huyết** trong 2-3 tháng. - **≥ 6.5%** là dấu hiệu của **đái tháo đường**. 👉 Tóm lại, **HbA1c** là một chỉ số quan trọng để theo dõi hiệu quả điều trị và quản lý bệnh **tiểu đường**.","HbA1c là gì; xét nghiệm HbA1c; chỉ số HbA1c; đường huyết trung bình; kiểm soát đái tháo đường"
"10","BỆNH đái tháo đường","","Tại sao phải nhịn ăn trước khi đo đường huyết đói?","Nhịn ăn trước xét nghiệm** để đảm bảo kết quả **đường huyết đói** phản ánh chính xác lượng đường cơ bản trong máu. Việc nhịn ăn ít nhất 8 tiếng giúp loại bỏ ảnh hưởng của thức ăn, vì khi ăn, **đường huyết** sẽ tăng tạm thời và làm sai lệch kết quả chẩn đoán. - Đảm bảo độ chính xác của xét nghiệm. - Tránh **đường huyết** tăng do thức ăn. 👉 Tóm lại, **nhịn ăn** là điều kiện cần để có kết quả **đường huyết đói** đáng tin cậy.","nhịn ăn đo đường huyết; lý do nhịn ăn; đường huyết đói; kết quả chính xác; chuẩn bị xét nghiệm"
