"question_id","topic","subtopic","question","answer","keywords"
"1","Biến chứng của ĐTĐ","","Biến chứng cấp tính của bệnh đái tháo đường là gì?","Biến chứng cấp tính** là những tình trạng nguy hiểm xảy ra đột ngột ở người **tiểu đường**, cần cấp cứu ngay. - **Đường huyết quá cao/thấp**: Gây hôn mê - **Nhiễm trùng răng miệng**: Sưng đau nghiêm trọng - **Khô miệng cấp**: Tăng nguy cơ sâu răng 👉 Tóm lại, cần theo dõi và xử lý ngay khi có dấu hiệu bất thường.","biến chứng cấp tính ĐTĐ; biến chứng ĐTĐ; cấp tính; tiểu đường; biến chứng nguy hiểm"
"2","Biến chứng của ĐTĐ","","Nhiễm toan ceton là gì?","Nhiễm toan ceton** là tình trạng nguy hiểm khi cơ thể người **tiểu đường** không có đủ insulin, buộc phải đốt mỡ tạo năng lượng, sinh ra chất độc hại (ceton) làm máu bị axit. - Dấu hiệu: Hơi thở có mùi lạ (mùi trái cây), mệt mỏi, đau bụng. - Quan trọng: Đây là **cấp cứu y tế**, có thể ảnh hưởng đến việc điều trị nha khoa. 👉 Tóm lại, đây là biến chứng **tiểu đường** rất nghiêm trọng, cần xử lý y tế khẩn cấp.","nhiễm toan ceton; toan ceton; ceton ĐTĐ; định nghĩa toan ceton; biến chứng ĐTĐ"
"3","Biến chứng của ĐTĐ","","Triệu chứng của nhiễm toan ceton gồm những gì?","Triệu chứng nhiễm toan ceton** gồm khát nước, tiểu nhiều, đau bụng, buồn nôn, và đặc biệt là **hơi thở có mùi trái cây chín**. - **Khô miệng** nặng: Dễ gây **sâu răng** và **nhiễm trùng nướu**. - Mệt mỏi, lú lẫn: Có thể ảnh hưởng đến khả năng hợp tác khi **khám răng**. 👉 Tóm lại, nhận biết sớm giúp phòng tránh nguy hiểm và hỗ trợ điều trị kịp thời.","triệu chứng toan ceton; dấu hiệu toan ceton; biểu hiện toan ceton; nhiễm toan ceton"
"4","Biến chứng của ĐTĐ","","Nguyên nhân chính gây nhiễm toan ceton ở bệnh nhân đái tháo đường là gì?","Nguyên nhân nhiễm toan ceton** thường là do **không tiêm insulin đủ**, bỏ thuốc, hoặc do **nhiễm trùng** nặng. - **Nhiễm trùng răng miệng**: Có thể làm **đường huyết tăng**, đẩy nhanh nguy cơ nhiễm toan. - Căng thẳng: Ví dụ như căng thẳng khi **đi khám nha khoa**, cũng có thể ảnh hưởng. 👉 Tóm lại, việc kiểm soát tốt đường huyết và xử lý **nhiễm trùng** là rất quan trọng.","nguyên nhân toan ceton; gây toan ceton; toan ceton; lý do toan ceton; nhiễm toan ceton"
"5","Biến chứng của ĐTĐ","","Tăng áp lực thẩm thấu trong đái tháo đường là gì?","Tăng áp lực thẩm thấu** là khi **đường huyết tăng rất cao**, dẫn đến **mất nước nghiêm trọng** trong cơ thể, thường gặp ở người lớn tuổi. - **Khô miệng** nặng: Gây khó chịu, khó nuốt và tăng nguy cơ **sâu răng, viêm nướu**. - Ảnh hưởng điều trị: Tình trạng này có thể khiến bạn **mệt mỏi**, khó chịu khi **khám răng**. 👉 Tóm lại, đây là tình trạng nguy hiểm cần **cấp cứu** do mất nước trầm trọng.","tăng áp lực thẩm thấu; áp lực thẩm thấu; định nghĩa tăng thẩm thấu; biến chứng ĐTĐ"
"6","Biến chứng của ĐTĐ","","Triệu chứng của tăng áp lực thẩm thấu là gì?","Triệu chứng của tăng áp lực thẩm thấu** bao gồm **khát nước dữ dội**, tiểu nhiều, và **mất nước nặng**. - **Khô miệng**: Rất nghiêm trọng, có thể làm nướu dễ **viêm, chảy máu**. - Lú lẫn: Ảnh hưởng đến khả năng giao tiếp và tuân thủ **chăm sóc răng miệng**. 👉 Tóm lại, các dấu hiệu này cần được xử lý y tế ngay lập tức để tránh biến chứng nặng.","triệu chứng tăng thẩm thấu; dấu hiệu tăng thẩm thấu; biểu hiện tăng thẩm thấu; tăng áp lực thẩm thấu"
"7","Biến chứng của ĐTĐ","","Hạ đường huyết là gì?","Hạ đường huyết** là khi **lượng đường trong máu xuống quá thấp** (dưới 3,9 mmol/L), thường do dùng thuốc quá liều hoặc bỏ bữa ăn. - Trong khi **khám răng**: Cần báo bác sĩ nếu bạn cảm thấy đói cồn cào, run rẩy để được xử lý kịp thời. - Ăn uống đúng giờ: Giúp duy trì **đường huyết ổn định**, rất quan trọng cho sức khỏe răng miệng. 👉 Tóm lại, **hạ đường huyết** là tình trạng cần được nhận biết và xử lý nhanh chóng.","hạ đường huyết là gì; hạ đường huyết; đường huyết thấp; đường huyết giảm; tụt đường huyết; thiếu đường"
"8","Biến chứng của ĐTĐ","","Triệu chứng của hạ đường huyết gồm những gì?","Triệu chứng của hạ đường huyết** bao gồm **đói cồn cào**, run tay chân, vã mồ hôi, tim đập nhanh và chóng mặt. - Ảnh hưởng khi **điều trị nha khoa**: Các triệu chứng này có thể làm bạn khó chịu, không thể hợp tác với nha sĩ. - Hôn mê: Trong trường hợp nặng, có thể gây nguy hiểm ngay tại phòng **khám răng**. 👉 Tóm lại, nếu có dấu hiệu này, hãy báo ngay cho nha sĩ hoặc người xung quanh.","triệu chứng hạ đường huyết; dấu hiệu hạ đường huyết; biểu hiện hạ đường huyết; hạ đường huyết có gì; cảm giác hạ đường huyết; dấu hiệu tụt đường"
"9","Biến chứng của ĐTĐ","","Biến chứng răng miệng cấp tính ở bệnh nhân đái tháo đường là gì?","Biến chứng răng miệng cấp tính** ở người **tiểu đường** là các vấn đề như **nhiễm trùng** vùng hàm mặt, **áp-xe** (sưng mủ) và **khô miệng** nghiêm trọng. - Tiến triển nhanh: Các **nhiễm trùng** này thường nặng hơn và khó chữa hơn. - Tăng đường huyết: **Nhiễm trùng** có thể làm **đường huyết** của bạn khó kiểm soát hơn. 👉 Tóm lại, cần thăm khám **nha sĩ** ngay khi có dấu hiệu bất thường để tránh biến chứng nặng.","biến chứng răng miệng cấp tính; cấp tính răng miệng đtđ; vấn đề răng miệng đtđ cấp tính; răng miệng đái tháo đường cấp; biến chứng miệng đtđ cấp"
"10","Biến chứng của ĐTĐ","","Biến chứng mạn tính của bệnh đái tháo đường là gì?","Biến chứng mạn tính** là những vấn đề sức khỏe **tiểu đường** gây ra dần dần theo thời gian, ảnh hưởng đến nhiều bộ phận cơ thể. - **Răng miệng**: Gây **viêm nướu**, **viêm nha chu** nặng, **sâu răng** và **khô miệng** kéo dài. - Sức khỏe tổng thể: Ảnh hưởng đến mắt, thận, tim mạch và cả cảm giác tay chân. 👉 Tóm lại, việc kiểm soát **đường huyết** tốt giúp phòng ngừa các tổn thương lâu dài này.","biến chứng mạn tính đtđ; mạn tính đái tháo đường; biến chứng tiểu đường lâu dài; hậu quả đtđ mạn tính; bệnh tiểu đường mạn tính"
