"question_id","topic","subtopic","question","answer","keywords"
"1"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Hệ thống phân loại bệnh nha chu mới nhất của AAP được ban hành khi nào?","Hệ thống phân loại AAP 2017** là một bộ tiêu chuẩn toàn diện về bệnh nha chu và quanh implant. Được công bố năm **2017** bởi Hiệp hội Nha chu Hoa Kỳ (AAP), nó bao quát các tình trạng **lành mạnh**, **bệnh nướu**, **bệnh nha chu** và **bệnh quanh implant**. - Cung cấp tiêu chí chẩn đoán thống nhất. - Phân loại rõ ràng hơn các bệnh lý mô quanh răng. 👉 Tóm lại, giúp chẩn đoán và quản lý hiệu quả các tình trạng nha chu và quanh implant.","Phân loại nha chu AAP; Hệ thống phân loại AAP; Phân loại bệnh nha chu; Tiêu chuẩn phân loại nha chu; Hướng dẫn phân loại nha chu; Bảng phân loại nha chu; AAP nha chu; Phân loại mới nha chu"
"2"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Nướu khỏe mạnh có đặc điểm gì?","Nướu khỏe mạnh** là tình trạng mô nướu không có dấu hiệu bệnh lý. Nướu có màu **hồng nhạt**, **săn chắc**, không bị **viêm** và không **chảy máu** khi thăm khám. - Không mất bám dính lâm sàng. - Không tiêu xương ổ răng. 👉 Tóm lại, là nền tảng cho sức khỏe răng miệng toàn diện.","nướu khỏe mạnh; đặc điểm nướu; nướu hồng; không chảy máu; săn chắc; viền nướu; khe nướu; hình thái nướu"
"3"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Viêm nướu do mảng bám là gì?","Viêm nướu do mảng bám** là tình trạng viêm giới hạn ở mô nướu. Nguyên nhân chính là sự tích tụ **mảng bám vi khuẩn**, và tình trạng này **chưa gây mất bám dính** lâm sàng hoặc **tiêu xương ổ răng**. - Có thể hồi phục hoàn toàn khi loại bỏ mảng bám. - Tiền thân của bệnh nha chu nếu không được điều trị. 👉 Tóm lại, một dạng bệnh nướu phổ biến, có thể đảo ngược.","Viêm nướu; viêm lợi; mảng bám; viêm nướu mảng bám; định nghĩa viêm nướu; không mất bám dính; nướu sưng đỏ; nguyên nhân viêm nướu; vi khuẩn mảng bám; tình trạng nướu"
"4"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Viêm nướu không do mảng bám gồm những nguyên nhân nào?","Viêm nướu không do mảng bám** là tình trạng viêm nướu không liên quan trực tiếp đến mảng bám vi khuẩn. Các nguyên nhân bao gồm tác dụng phụ của **thuốc** (ví dụ: phenytoin), **bệnh toàn thân** (như bệnh bạch cầu) hoặc các yếu tố **môi trường** (chấn thương, dị ứng). - Đòi hỏi chẩn đoán phân biệt kỹ lưỡng. - Điều trị tập trung vào nguyên nhân gốc. 👉 Tóm lại, viêm nướu có thể có nguồn gốc đa dạng ngoài mảng bám.","Viêm nướu không mảng bám; viêm nướu do thuốc; phì đại nướu thuốc; viêm nướu toàn thân; nướu đái tháo đường; nướu bệnh bạch cầu; nướu chấn thương; nướu dị ứng; phenytoin; ciclosporin"
"5"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Tiêu chí chẩn đoán viêm nha chu là gì?","Tiêu chí chẩn đoán viêm nha chu** là các dấu hiệu lâm sàng và X-quang xác định bệnh. Bao gồm sự hiện diện của **mất bám dính lâm sàng** (CAL), **tiêu xương ổ răng** trên X-quang, và/hoặc hình thành **túi nha chu**. - Có thể kèm theo tụt nướu. - CAL là dấu hiệu đặc trưng nhất. 👉 Tóm lại, dựa vào mất bám dính và tiêu xương để xác định bệnh.","chẩn đoán viêm nha chu; tiêu chí viêm nha chu; mất bám dính; túi nha chu; tiêu xương; chảy máu nướu; di động răng; viêm nướu"
"6"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Viêm nha chu được phân loại theo yếu tố nào?","Phân loại viêm nha chu** là cách đánh giá mức độ nghiêm trọng và tốc độ tiến triển của bệnh. Dựa trên hai yếu tố chính: **Giai đoạn** (Stage I–IV) theo mức độ tổn thương và **Cấp độ** (Grade A–C) theo tốc độ tiến triển và các yếu tố nguy cơ. - Stage: Đánh giá mất bám dính và tiêu xương. - Grade: Đánh giá nguy cơ tiến triển và đáp ứng điều trị. 👉 Tóm lại, phân loại theo Stage và Grade giúp định hướng kế hoạch điều trị.","phân loại nha chu; giai đoạn nha chu; cấp độ nha chu; tiêu chí phân loại; đánh giá nha chu; chẩn đoán nha chu; mức độ nha chu; tiến triển nha chu"
"7"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Đặc điểm của viêm nha chu Stage I là gì?","Viêm nha chu Stage I** là giai đoạn sớm nhất của bệnh nha chu. Đặc trưng bởi **mất bám dính lâm sàng** (CAL) nhẹ (1–2 mm) và **tiêu xương** nhẹ. - Thường không mất răng do nha chu. - Tổn thương khu trú, giới hạn. 👉 Tóm lại, dễ kiểm soát nếu được phát hiện và điều trị kịp thời.","viêm nha chu giai đoạn I; nha chu stage I; đặc điểm nha chu I; mất bám dính nhẹ; tiêu xương nhẹ; chẩn đoán nha chu I; tiêu chuẩn nha chu I"
"8"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Đặc điểm của viêm nha chu Stage IV là gì?","Viêm nha chu Stage IV** là giai đoạn nặng nhất và phức tạp nhất của bệnh nha chu. Biểu hiện bởi **mất bám dính** nặng (>5 mm), **tiêu xương lan rộng**, thường kèm theo **mất ≥5 răng**. - Gây ảnh hưởng nghiêm trọng đến **chức năng nhai** và **khớp cắn**. - Tiên lượng bảo tồn răng kém. 👉 Tóm lại, dạng bệnh nha chu nặng nề, đòi hỏi can thiệp chuyên sâu.","viêm nha chu Stage IV; giai đoạn 4; mất răng; di động răng; mất chức năng; tiêu xương nặng; điều trị phức tạp; khớp cắn"
"9"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Grade C trong viêm nha chu nghĩa là gì?","Viêm nha chu Grade C** là cấp độ biểu thị bệnh nha chu tiến triển nhanh. Đặc trưng bởi tốc độ tiến triển **nhanh** và thường đi kèm với các **yếu tố nguy cơ cao**, như **hút thuốc nhiều** hoặc **kiểm soát đường huyết kém**. - Cần kế hoạch điều trị tích cực. - Tiên lượng điều trị có thể phức tạp hơn. 👉 Tóm lại, cấp độ cảnh báo nguy cơ cao về tốc độ hủy hoại mô nha chu.","Grade C nha chu; Phân loại viêm nha chu; Tiến triển nhanh nha chu; Yếu tố nguy cơ nha chu; Hút thuốc nha chu; Đái tháo đường nha chu; Đánh giá nha chu; Tiên lượng nha chu"
"10"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Bệnh nha chu hoại tử là gì?","Bệnh nha chu hoại tử** là một dạng bệnh nha chu cấp tính, nghiêm trọng. Đặc trưng bởi **viêm** và **hoại tử** mô nướu, dây chằng nha chu, và/hoặc xương ổ răng, thường xuất hiện ở bệnh nhân **suy giảm miễn dịch** hoặc **suy dinh dưỡng**. - Biểu hiện đau dữ dội, loét, hơi thở hôi. - Cần điều trị khẩn cấp. 👉 Tóm lại, tình trạng bệnh nha chu cấp tính, phá hủy mô nhanh chóng.","Nha chu hoại tử; Viêm nha chu hoại tử; NUG; NUP; Hoại tử nướu; Tổn thương nha chu; Bệnh nha chu cấp; Nha chu suy giảm miễn dịch"
